# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 250, i.e. number of multipoles equal to 249
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:aa                     7:aa_reco                8:aa_reio                9:aT                    10:aT_reco               11:aT_reio               12:aE                    13:aE_reco               14:aE_reio               15:TE_rot                16:TB_rot                17:EE_rot                18:BB_rot                19:EB_rot             
    2       1.381341341069e-10       4.175861557127e-15       3.515813348164e-13       0.000000000000e+00       2.171393580382e-15       5.185580983430e-19       2.106352551129e-15       2.998357984541e-13       5.592119665523e-15       2.942436787886e-13       2.790432132032e-15       2.480889724251e-19       2.733055625187e-15       4.121334202400e-15      -6.635418561148e-15       1.145880599642e-15       2.992672412608e-15      -1.851705663539e-15 
    3       1.306185944065e-10       5.350815501649e-15       3.951577939303e-13       0.000000000000e+00       1.324123223541e-15       4.784325991766e-19       1.277375880269e-15       2.311885835483e-13       5.238412735129e-15       2.259501708131e-13       2.143059860270e-15       5.017923729268e-19       2.074155426202e-15       4.943781866725e-15      -7.928928871942e-15       1.458247641056e-15       3.807204167416e-15      -2.355672004736e-15 
    4       1.235481203766e-10       4.626470833329e-15       3.695299669220e-13       0.000000000000e+00       9.782154293989e-16       4.402529129062e-19       9.471033175576e-16       1.669792459570e-13       4.684675800902e-15       1.622945701561e-13       1.166106823867e-15       7.853209160969e-19       1.097816071567e-15       4.003189888843e-15      -6.365856068630e-15       1.246000662083e-15       3.249519817897e-15      -2.010547583959e-15 
    5       1.182673927145e-10       3.084818196128e-15       3.146960262056e-13       0.000000000000e+00       1.074751448541e-15       4.041739432244e-19       1.055873868105e-15       1.161947771629e-13       4.119443749948e-15       1.120753334129e-13       5.201511512755e-16       1.083964041775e-18       4.602513147817e-16       2.524606841584e-15      -3.928761666758e-15       8.121029731526e-16       2.109806944810e-15      -1.305239657613e-15 
    6       1.146375491677e-10       1.723978247700e-15       2.534546148371e-13       0.000000000000e+00       1.370807716212e-15       3.703751478137e-19       1.360891105631e-15       7.800602783674e-14       3.598785738653e-15       7.440724209808e-14       3.298410353456e-16       1.386656255165e-18       2.821057080430e-16       1.416550190773e-15      -2.085072975221e-15       4.346503444663e-16       1.113091671984e-15      -6.883332673279e-16 
    7       1.122963923787e-10       9.313320193572e-16       1.990029500946e-13       0.000000000000e+00       1.632464679955e-15       3.389433957584e-19       1.628724522037e-15       5.003797432766e-14       3.136749140691e-15       4.690122518697e-14       4.033212872770e-16       1.685979129447e-18       3.683658097090e-16       8.955951638866e-16      -1.180980470412e-15       2.210659019343e-16       5.384166623353e-16      -3.324584924214e-16 
    8       1.109224890326e-10       6.010314747107e-16       1.571284980737e-13       0.000000000000e+00       1.731340217554e-15       3.098798712218e-19       1.731575889471e-15       3.016153206890e-14       2.733354550686e-15       2.742817751821e-14       5.003733634865e-16       1.977391415273e-18       4.767782260979e-16       7.559792173445e-16      -8.782126339651e-16       1.413746197891e-16       3.057683453662e-16      -1.880768086364e-16 
    9       1.102693445884e-10       4.824189712402e-16       1.291244160555e-13       0.000000000000e+00       1.647520887683e-15       2.831238215050e-19       1.650087334928e-15       1.662238381558e-14       2.383701794288e-15       1.423868202129e-14       4.870335735771e-16       2.258381769520e-18       4.723592608225e-16       7.444862429596e-16      -7.609713728220e-16       1.252443126463e-16       2.295620360059e-16      -1.403249201405e-16 
   10       1.101547174376e-10       4.107724497148e-16       1.136221748563e-13       0.000000000000e+00       1.428239424811e-15       2.585770534498e-19       1.431968621839e-15       7.920813967526e-15       2.081481489691e-15       5.839332477835e-15       3.561067662239e-16       2.527871930283e-18       3.476704532354e-16       7.447221366045e-16      -6.344298897760e-16       1.262684417701e-16       1.865672330813e-16      -1.129186450829e-16 
   11       1.104471614890e-10       3.446779551588e-16       1.079486944841e-13       0.000000000000e+00       1.142782732734e-15       2.361212830713e-19       1.146890611989e-15       2.760518744996e-15       1.820425272727e-15       9.400934722693e-16       1.728547514463e-16       2.785878911234e-18       1.682323325579e-16       7.595507370520e-16      -4.968169511066e-16       1.325196593551e-16       1.434841074271e-16      -8.521601843586e-17 
   12       1.110528115134e-10       2.997856324017e-16       1.090980610734e-13       0.000000000000e+00       8.522530611973e-16       2.156268951866e-19       8.562492124172e-16       6.060488704250e-17       1.594850473630e-15      -1.534245586587e-15       1.028330352304e-17       3.033180615270e-18       7.565271410157e-18       8.212856038459e-16      -3.942385108239e-16       1.482653657412e-16       1.091858130804e-16      -6.266730710468e-17 
   13       1.119041700245e-10       2.871109442272e-16       1.143924984459e-13       0.000000000000e+00       5.966225097939e-16       1.969581662870e-19       6.002306480793e-16      -1.029259036657e-15       1.399786805208e-15      -2.429045841865e-15      -8.953488344986e-17       3.270955632153e-18      -9.167364468684e-17       9.373965592598e-16      -3.330027303226e-16       1.768435828957e-16       8.999799645573e-17      -4.914440079072e-17 
   14       1.129531479191e-10       2.986917580610e-16       1.217983564469e-13       0.000000000000e+00       3.941224787451e-16       1.799778934997e-19       3.972147493096e-16      -1.138992958547e-15       1.230936165496e-15      -2.369929124043e-15      -1.221943075689e-16       3.500524376798e-18      -1.245455992427e-16       1.093924328618e-15      -2.849350386108e-16       2.166124207609e-16       7.913561264181e-17      -4.040515160333e-17 
   15       1.141638428254e-10       3.227682219380e-16       1.300134457032e-13       0.000000000000e+00       2.467256821368e-16       1.645512428058e-19       2.492711507426e-16      -7.118234663663e-16       1.084591102308e-15      -1.796414568674e-15      -1.076786142331e-16       3.723216032135e-18      -1.106147492975e-16       1.280023479910e-15      -2.271206465835e-16       2.650762985748e-16       6.749757921394e-17      -3.077285033145e-17 
   16       1.155099813624e-10       3.568281887689e-16       1.383636228195e-13       0.000000000000e+00       1.470226079022e-16       1.505483590190e-19       1.490487838118e-16      -4.727448341253e-17       9.575505814146e-16      -1.004825064827e-15      -7.244275682478e-17       3.940306610976e-18      -7.604862332349e-17       1.499356049748e-15      -1.602973278208e-16       3.224290278625e-16       5.293267944061e-17      -1.886969190042e-17 
   17       1.169705470578e-10       4.063829825046e-16       1.466846472389e-13       0.000000000000e+00       8.394310723306e-17       1.378459099958e-19       8.550858839886e-17       6.600053332152e-16       8.470448768824e-16      -1.870395436672e-16      -3.691749066288e-17       4.152983670024e-18      -4.111232070184e-17       1.763937204261e-15      -9.859253720679e-17       3.911314100027e-16       3.914523197887e-17      -6.939817967536e-18 
   18       1.185291686983e-10       4.767750140977e-16       1.551734730790e-13       0.000000000000e+00       4.647496887280e-17       1.263279394105e-19       4.765103493688e-17       1.291246491510e-15       7.506746440445e-16       5.405718474655e-16      -1.121837309270e-17       4.362322216880e-18      -1.585167108283e-17       2.082159467807e-15      -5.040075687866e-17       4.736197823246e-16       2.972026908481e-17       2.847412316551e-18 
   19       1.201724335809e-10       5.687024587497e-16       1.640977960397e-13       0.000000000000e+00       2.552196796181e-17       1.158862991954e-19       2.638099790026e-17       1.783023620159e-15       6.663614338886e-16       1.116662186270e-15       3.114521573743e-18       4.569274583390e-18      -1.802509959928e-18       2.454899470311e-15      -1.219618103290e-17       5.710804964959e-16       2.492914329924e-17       1.037383167763e-17 
   20       1.218897565698e-10       6.800511989869e-16       1.735813120887e-13       0.000000000000e+00       1.444230701748e-17       1.064208005976e-19       1.505114482768e-17       2.112372174552e-15       5.923095611567e-16       1.520062613395e-15       9.045787894347e-18       4.774666783805e-18       3.966421442908e-18       2.880575268362e-15       2.341904850864e-17       6.839120242313e-16       2.294727626971e-17       1.681879552122e-17 
   21       1.236727587244e-10       8.093881702910e-16       1.835664590305e-13       0.000000000000e+00       8.841007074485e-18       9.783915905893e-20       9.257727679481e-18       2.284168036001e-15       5.269736844560e-16       1.757194351545e-15       1.046383209003e-17       4.979201823099e-18       5.295162757613e-18       3.360333322552e-15       5.968123603348e-17       8.126447637840e-16       2.226797563009e-17       2.316543745593e-17 
   22       1.255146474016e-10       9.569586142859e-16       1.938497488876e-13       0.000000000000e+00       6.056386457438e-18       9.005678913361e-20       6.329262145760e-18       2.320576580335e-15       4.690318433513e-16       1.851544736984e-15       1.024883663894e-17       5.183470724494e-18       5.016574466300e-18       3.897672610780e-15       9.594829537960e-17       9.582223246967e-16       2.244120809011e-17       2.974348304783e-17 
   23       1.274103833726e-10       1.123321475141e-15       2.041383182463e-13       0.000000000000e+00       4.611352907312e-18       8.299648874833e-20       4.779136416145e-18       2.251934765311e-15       4.173594527359e-16       1.834575312575e-15       9.848809387238e-18       5.387961038150e-18       4.541468970801e-18       4.495883862786e-15       1.320846619618e-16       1.121668609408e-15       2.321783070222e-17       3.675851262246e-17 
   24       1.293552308035e-10       1.308214323761e-15       2.140693194947e-13       0.000000000000e+00       3.759252204687e-18       7.658804565648e-20       3.852161238703e-18       2.110111180987e-15       3.710068351102e-16       1.739104345877e-15       9.671491916117e-18       5.593070673319e-18       4.254180026325e-18       5.155383543928e-15       1.718046685654e-16       1.303815365404e-15       2.384726029932e-17       4.472636374280e-17 
   25       1.313462185257e-10       1.511416528713e-15       2.232364983055e-13       0.000000000000e+00       3.161119640495e-18       7.076779645292e-20       3.202119974062e-18       1.924126404385e-15       3.291752896532e-16       1.594951114732e-15       9.647262474902e-18       5.799122684386e-18       4.075357543870e-18       5.877592699168e-15       2.175339809188e-16       1.505443299081e-15       2.344740722353e-17       5.424421155432e-17 
   26       1.333802391603e-10       1.733779920584e-15       2.314247720995e-13       0.000000000000e+00       2.682154751264e-18       6.547815795116e-20       2.688289111579e-18       1.717519219601e-15       2.911943759489e-16       1.426324843652e-15       9.619941183034e-18       6.006369524445e-18       3.850099399392e-18       6.666507611121e-15       2.681662209224e-16       1.727564787155e-15       2.176009535034e-17       6.552285500840e-17 
   27       1.354543681372e-10       1.977014109200e-15       2.385571302254e-13       0.000000000000e+00       2.276963772854e-18       6.066715061890e-20       2.260590036320e-18       1.508201663512e-15       2.565040649912e-16       1.251697598521e-15       9.503752181440e-18       6.215003072305e-18       3.501659138291e-18       7.524654568476e-15       3.233124560126e-16       1.971491616522e-15       1.933235740262e-17       7.827446395697e-17 
   28       1.375666697829e-10       2.243467692180e-15       2.445720191159e-13       0.000000000000e+00       1.932290605483e-18       5.628792826285e-20       1.902160692751e-18       1.308224007714e-15       2.246335112375e-16       1.083590496477e-15       9.292539107645e-18       6.425166572164e-18       3.036171042739e-18       8.457089873633e-15       3.797971952848e-16       2.238648706388e-15       1.702694192548e-17       9.201550394792e-17 
   29       1.397141276329e-10       2.535120024449e-15       2.495874103361e-13       0.000000000000e+00       1.642611133587e-18       5.229832275841e-20       1.604767478899e-18       1.124987423174e-15       1.951867924510e-16       9.298006307232e-16       9.020631907134e-18       6.636954495422e-18       2.500141793873e-18       9.467811842538e-15       4.357355139804e-16       2.530324719176e-15       1.539863790034e-17       1.064521468225e-16 
   30       1.418948180811e-10       2.852971732423e-15       2.537215601754e-13       0.000000000000e+00       1.402149055139e-18       4.866040998316e-20       1.360645367501e-18       9.621681620330e-16       1.678300177846e-16       7.943381442483e-16       8.731746602616e-18       6.850419791794e-18       1.947815614543e-18       1.055761225532e-14       4.929681863893e-16       2.847592098382e-15       1.449337518834e-17       1.216044370142e-16 
   31       1.441071142812e-10       3.197838995271e-15       2.570387130966e-13       0.000000000000e+00       1.203761323098e-18       4.534010273190e-20       1.161224187925e-18       8.205852598544e-16       1.422770842384e-16       6.783081756160e-16       8.469418351886e-18       7.065589012872e-18       1.429737115908e-18       1.172966669796e-14       5.512633097342e-16       3.191423048683e-15       1.412963140174e-17       1.376325501686e-16 
   32       1.463486322440e-10       3.570252098895e-15       2.595630408771e-13       0.000000000000e+00       1.039889020810e-18       4.230677379089e-20       9.979439472112e-19       6.992533971348e-16       1.182847371105e-16       5.809686600243e-16       8.275262154024e-18       7.282460111120e-18       9.909168660623e-19       1.298423230667e-14       6.128881094878e-16       3.562793560744e-15       1.419460847849e-17       1.546531039764e-16 
   33       1.486189798742e-10       3.971106811442e-15       2.610717847526e-13       0.000000000000e+00       9.035857365574e-19       3.953290867774e-20       8.631747491330e-19       5.962422433916e-16       9.564357038825e-17       5.005986730033e-16       8.184495851319e-18       7.500995841132e-18       6.667912340558e-19       1.432294645707e-14       6.782279377790e-16       3.962669215401e-15       1.464025016857e-17       1.727410401990e-16 
   34       1.509170687890e-10       4.402216295161e-15       2.614293775038e-13       0.000000000000e+00       7.890711636501e-19       3.699378825941e-20       7.506832545186e-19       5.090624407282e-16       7.417163413810e-17       4.348908065901e-16       8.217582680994e-18       7.721136015536e-18       4.753714942425e-19       1.575265732131e-14       7.421921920713e-16       4.391965991733e-15       1.535068873217e-17       1.920121727633e-16 
   35       1.532414330104e-10       4.864516737339e-15       2.607047941571e-13       0.000000000000e+00       6.918401766382e-19       3.466719906217e-20       6.556733522133e-19       4.350297492862e-16       5.371411647341e-17       3.813156328128e-16       8.371939814068e-18       7.942810280543e-18       4.107217204113e-19       1.727478652557e-14       8.052976191022e-16       4.851556507088e-15       1.614441135651e-17       2.126220958741e-16 
   36       1.555921710375e-10       5.357749585932e-15       2.587920310357e-13       0.000000000000e+00       6.085097112929e-19       3.253317345101e-20       5.745837739395e-19       3.718582115633e-16       3.413723387422e-17       3.377209776891e-16       8.620251027671e-18       8.165933210946e-18       4.425496702149e-19       1.888734906783e-14       8.721282700543e-16       5.342297539398e-15       1.690684830127e-17       2.346830776096e-16 
